mod,name,display_name,answered_qs,positive_qs,final_candidate_count,final_candidates
NOS,NOS_ChainShifter,チェインシフター,60,2,14,NOS_Arsonist|NOS_Jester|NOS_Vulture|NOS_Gambler|NOS_Dancer|NOS_Grudge|NOS_Noiseghost|NOS_Opportunist|NOS_YokaiFox|NOS_ChainShifter|NOS_Paparazzi|NOS_Plague|NOS_Tyrant|NOS_Vanity
Vanilla,Crewmate,クルーメイト,15,1,6,Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective
Vanilla,Engineer,エンジニア,15,2,6,Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective
TOHK,TOHK_Lovers,ラバーズ,16,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
TOHK,TOHK_RedLovers,レッドラバーズ,16,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
TOHK,TOHK_YellowLovers,イエローラバーズ,16,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
TOHK,TOHK_BlueLovers,ブルーラバーズ,17,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
TOHK,TOHK_GreenLovers,グリーンラバーズ,17,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
TOHK,TOHK_WhiteLovers,ホワイトラバーズ,16,5,6,TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers
Vanilla,Impostor,インポスター,7,0,3,Impostor|Shapeshifter|Phantom
Vanilla,Shapeshifter,シェイプシフター,7,2,3,Impostor|Shapeshifter|Phantom
Vanilla,Phantom,ファントム,7,3,3,Impostor|Shapeshifter|Phantom
TORGMIA,TORGMIA_Hacker,ハッカー,25,5,3,TORGMIA_Hacker|TORGMIA_Veteran|TORGMIA_NiceWatcher
TOHK,TOHK_Express,エクスプレス,33,4,3,TOHK_SpeedBooster|TOHK_Express|TOHK_SpeedStar
Vanilla,Tracker,トラッカー,10,3,2,Tracker|Detective
TOH,Mafia,マフィア,12,5,2,FireWorks|Mafia
TOH,Mayor,メイヤー,33,4,2,Mayor|SabotageMaster
SNR,SNR_EvilGuesser,イビルゲッサー,16,4,2,SNR_EvilGuesser|SNR_NiceGuesser
SNR,SNR_NiceGuesser,ナイスゲッサー,14,4,2,SNR_NiceGuesser|SNR_EvilGuesser
ExR,ExR_Investigator,捜査官,11,5,2,ExR_Investigator|ExR_ApprenticeInvestigator
ExR,ExR_ApprenticeInvestigator,見習い捜査官,12,5,2,ExR_Investigator|ExR_ApprenticeInvestigator
TORGMIA,TORGMIA_Cleaner,クリーナー,13,5,2,TORGMIA_Cleaner|TORGMIA_Undertaker
TORGMIA,TORGMIA_Mafioso,マフィオソ,14,7,2,TORGMIA_Mafioso|TORGMIA_EvilYasuna
TORGMIA,TORGMIA_Undertaker,アンダーテイカー,13,4,2,TORGMIA_Cleaner|TORGMIA_Undertaker
TORGMIA,TORGMIA_AntiTeleport,アンチテレポーター,34,4,2,TORGMIA_Teleporter|TORGMIA_AntiTeleport
TOHK,TOHK_ConnectSaver,コネクトセーバー,12,7,2,TOHK_ConnectSaver|TOHK_Ballooner
TOHK,TOHK_Madmate,マッドメイト,26,4,2,TOHK_Madmate|TOHK_MadTracker
TOHK,TOHK_SpeedBooster,スピードブースター,21,4,2,TOHK_SpeedBooster|TOHK_Express
TOHK,TOHK_Bakery,パン屋,53,4,2,TOHK_Bakery|TOHK_News
TOHK,TOHK_Vega,織姫,17,5,2,TOHK_AlienHijack|TOHK_Vega
TOHK,TOHK_Moon,ムーン,43,4,2,TOHK_Lighter|TOHK_Moon
NOS,NOS_TieBreaker,タイブレイカー,18,4,2,NOS_Mayor|NOS_TieBreaker
