display_name,count,entries
ミーティングシェリフ,2,SNR_MeetingSheriff@SNR;TOHK_MeetingSheriff@TOHK
天秤,2,SNR_Tenbin@SNR;TOHK_Balancer@TOHK
サイドキック,4,SNR_Sidekick@SNR;ExR_Sidekick@ExR;TORGMIA_Sidekick@TORGMIA;NOS_Sidekick@NOS
ヴァルチャー,4,SNR_Vulture@SNR;TORGMIA_Vulture@TORGMIA;TOHK_Vulture@TOHK;NOS_Vulture@NOS
ラバーズ,4,SNR_Lovers@SNR;ExR_Lovers@ExR;TORGMIA_Lovers@TORGMIA;TOHK_Lovers@TOHK
タイムマスター,2,ExR_TimeMaster@ExR;TORGMIA_TimeMaster@TORGMIA
カースメーカー,2,ExR_CurseMaker@ExR;TOHK_CurseMaker@TOHK
オープナー,2,ExR_Opener@ExR;TOHK_Opener@TOHK
ギャンブラー,2,ExR_Gambler@ExR;NOS_Gambler@NOS
サイキック,2,ExR_Psychic@ExR;TOHK_Psychic@TOHK
ジェイラー,2,ExR_Jailer@ExR;NOS_Jailer@NOS
マーリン,2,ExR_Merlin@ExR;TOHK_Merlin@TOHK
捜査官,2,ExR_Investigator@ExR;TOHK_Inspector@TOHK
ゲッサー,3,ExR_Guesser@ExR;TOHK_Guesser@TOHK;NOS_Guesser@NOS
ペインター,2,ExR_Painter@ExR;NOS_Painter@NOS
ボマー,2,ExR_Bomber@ExR;TORGMIA_Bomber@TORGMIA
マジシャン,2,ExR_Magician@ExR;TOHK_Magician@TOHK
レイダー,2,ExR_Raider@ExR;NOS_Raider@NOS
アサシン,2,ExR_Assassin@ExR;TOHK_Assassin@TOHK
妖狐,3,ExR_Youko@ExR;TOHK_Fox@TOHK;NOS_YokaiFox@NOS
ポルターガイスト,2,ExR_Poltergeist@ExR;NOS_Poltergeist@NOS
クリーナー,2,TORGMIA_Cleaner@TORGMIA;NOS_Cleaner@NOS
イレイサー,2,TORGMIA_Eraser@TORGMIA;TOHK_Eraser@TOHK
モーフィング,2,TORGMIA_Morphling@TORGMIA;NOS_Morphing@NOS
占い師,2,TORGMIA_FortuneTeller@TORGMIA;TOHK_FortuneTeller@TOHK
チェインシフター,2,TORGMIA_ChainShifter@TORGMIA;NOS_ChainShifter@NOS
ブラッディ,2,TORGMIA_Bloody@TORGMIA;NOS_Bloody@NOS
アンチテレポーター,2,TORGMIA_AntiTeleport@TORGMIA;TOHK_AntiTeleporter@TOHK
タイブレーカー,2,TORGMIA_TieBreaker@TORGMIA;TOHK_Tiebreaker@TOHK
サングラス,2,TORGMIA_Sunglasses@TORGMIA;TOHK_Sunglasses@TOHK
