ratio,name1,display1,mod1,name2,display2,mod2
0.857,TORGMIA_Shifter,シフター,TORGMIA,TORGMIA_ChainShifter,チェインシフター,TORGMIA
0.857,TOHK_Witch,ウィッチ,TOHK,TOHK_Snitch,スニッチ,TOHK
0.903,TOHK_EvilTracker,イビルトラッカー,TOHK,TOHK_EvilHacker,イビルハッカー,TOHK
0.867,TOHK_EvilTracker,イビルトラッカー,TOHK,TOHK_EvilMaker,イビルメーカー,TOHK
0.897,TOHK_EvilHacker,イビルハッカー,TOHK,TOHK_EvilMaker,イビルメーカー,TOHK
0.880,TOHK_Insider,インサイダー,TOHK,TOHK_InSender,インセンダー,TOHK
0.889,TOHK_AntiReporter,アンチレポーター,TOHK,TOHK_AntiTeleporter,アンチテレポーター,TOHK
0.889,TOHK_Magician,マジシャン,TOHK,TOHK_MagicHand,マジックハンド,TOHK
0.960,TOHK_Amnesiac,記憶喪失者,TOHK,TOHK_Amnesia,アムネシア,TOHK
0.875,TOHK_EvilSatellite,イビルサテライト,TOHK,TOHK_Satellite,サテライト,TOHK
0.929,TOHK_UnFortuner,アンフォーチュナー,TOHK,TOHK_Fortuner,フォーチュナー,TOHK
0.923,TOHK_Madmate,マッドメイト,TOHK,TOHK_SKMadmate,サイドキックマッドメイト,TOHK
0.880,TOHK_MadSnitch,マッドスニッチ,TOHK,TOHK_Snitch,スニッチ,TOHK
0.880,TOHK_MadJester,マッドジェスター,TOHK,TOHK_Jester,ジェスター,TOHK
0.857,TOHK_MadBait,マッドベイト,TOHK,TOHK_Bait,ベイト,TOHK
0.867,TOHK_MadAvenger,マッドアベンジャー,TOHK,TOHK_MadChanger,マッドチェンジャー,TOHK
0.897,TOHK_MadTracker,マッドトラッカー,TOHK,TOHK_MadHacker,マッドハッカー,TOHK
0.897,TOHK_MadBetrayer,マッドベトレイヤー,TOHK,TOHK_Betrayer,ベトレイヤー,TOHK
0.909,TOHK_Bakery,パン屋,TOHK,TOHK_Banker,バンカー,TOHK
0.857,TOHK_Walker,ウォーカー,TOHK,TOHK_Water,ウォーター,TOHK
0.880,TOHK_Lovers,ラバーズ,TOHK,TOHK_RedLovers,レッドラバーズ,TOHK
0.867,TOHK_RedLovers,レッドラバーズ,TOHK,TOHK_GreenLovers,グリーンラバーズ,TOHK
0.867,TOHK_JackalWolf,ジャッカルウルフ,TOHK,TOHK_Jackaldoll,ジャッカルドール,TOHK
0.917,TOHK_Speeding,スピーディング,TOHK,TOHK_Seeing,シーイング,TOHK
0.857,NOS_Secret,シークレット,NOS,NOS_Scarlet,スカーレット,NOS
